No,County/ Sub-County,Rented/Provided ,Government Number, Gov No per cent,County Government Number, CG per cent,Parastatal  Number, Parastatal per cent,Private company Number, Private Company per cent,Individual Number, Ind. No. per cent,FBO/NGO/ Church/Temple/Mosque Number, FBO/NGOper cent
264,LAIKIPIA WEST,8582,296,3.4,328,3.8,86,1,838,9.8,6919,80.6,115,1.3
265,NYAHURURU ,18700,512,2.7,182,1,113,0.6,795,4.3,16945,90.6,153,0.8
266,NAKURU ,322763,7877,2.4,4727,1.5,3131,1,20744,6.4,284538,88.2,1746,0.5
267,GILGIL ,23021,1352,5.9,29,0.1,242,1.1,1122,4.9,20058,87.1,218,0.9
268,KURESOI NORTH,879,323,3.7,31,0.4,11,0.1,243,2.8,8099,92.1,88,1
269,KURESOI SOUTH,677,89,1.3,18,0.3,93,1.4,704,10.4,5857,86.4,16,0.2
270,MOLO ,17995,476,2.6,89,0.5,45,0.3,461,2.6,16792,93.3,132,0.7
271,NAIVASHA ,77962,1581,2,499,0.6,779,1,8756,11.2,66111,84.8,236,0.3
272,NAKURU EAST,5038,2174,4.3,2831,5.6,418,0.8,2135,4.2,42523,84.4,307,0.6
273,NAKURU NORTH,319,150,0.5,72,0.2,188,0.6,991,3.1,30420,95.1,156,0.5
274,NAKURU WEST,5455,947,1.7,882,1.6,998,1.8,3516,6.4,47984,88,230,0.4
275,NJORO ,22949,359,1.6,169,0.7,284,1.2,677,3,21337,93,123,0.5
276,RONGAI ,22944,368,1.6,96,0.4,73,0.3,2030,8.8,20195,88,182,0.8
277,SUBUKIA ,5398,58,1.1,11,0.2,- ,-,109,2,5162,95.6,58,1.1
278,NAROK ,54964,1159,2.1,771,1.4,295,0.5,1864,3.4,50394,91.7,481,0.9
279,NAROK EAST,6594,89,1.3,32,0.5,40,0.6,255,3.9,6113,92.7,65,1
280,NAROK NORTH,269,573,2.1,219,0.8,138,0.5,688,2.5,25197,93.4,167,0.6
281,NAROK SOUTH,542,156,2.9,192,3.5,12,0.2,100,1.8,4904,90.4,59,1.1
282,NAROK WEST,3648,49,1.3,153,4.2,27,0.7,254,7,3085,84.6,80,2.2
283,TRANS MARA EAST,  ,8,1.3,4,0.7,- ,-,14,2.3,562,93.4,14,2.3
284,TRANS MARA WEST ,,284,2.4,171,1.5,78,0.7,553,4.7,10533,89.9,96,0.8
290,MAU FOREST, -,- ,-,- ,-,- ,-,-,-,- ,-,- ,-
291,KAJIADO ,185863,1819,1,2576,1.4,1011,0.5,16740,9,162643,87.5,1074,0.6
292,ISINYA ,58651,507,0.9,1160,2,622,1.1,9180,15.7,46951,80.1,231,0.4
293,KAJIADO CENTRAL,13,423,3.2,95,0.7,40,0.3,345,2.6,12073,92.4,86,0.7
294,KAJIADO NORTH,818,578,0.7,666,0.8,154,0.2,4946,6,75019,91.7,483,0.6
295,KAJIADO WEST,1238,56,0.5,151,1.2,32,0.3,1363,11,10666,86.1,118,1
296,LOITOKITOK ,13370,151,1.1,330,2.5,109,0.8,732,5.5,11935,89.3,113,0.8
297,MASHUURU ,6548,104,1.6,174,2.7,54,0.8,174,2.7,5999,91.6,43,0.7
298,KERICHO ,52873,1648,3.1,422,0.8,799,1.5,9771,18.5,39853,75.4,380,0.7
299,BELGUT ,10519,146,1.4,18,0.2,29,0.3,5161,49.1,5140,48.9,25,0.2
300,BURETI ,8073,238,2.9,38,0.5,40,0.5,507,6.3,7187,89,63,0.8
301,KERICHO EAST,2076,735,3.5,159,0.8,290,1.4,1936,9.3,17506,84.3,142,0.7
302,KIPKELION ,2125,101,4.8,40,1.9,43,2,120,5.6,1780,83.8,41,1.9
303,LONDIANI ,8171,341,4.2,40,0.5,393,4.8,1783,21.8,5543,67.8,71,0.9
304,SOIN SIGOWET,3,87,2.7,127,3.9,4,0.1,264,8.2,2697,83.8,38,1.2
305,BOMET ,31630,565,1.8,437,1.4,178,0.6,7929,25.1,22218,70.2,303,1
